Date_Collected,Pool_ID,Dragonfly_Exuvia,Mosquito,Skimmer_Dragonfly
4/6/2021,62,0,18,0
4/20/2021,58,0,0,0
4/20/2021,60,0,593,0
4/20/2021,61,0,0,0
4/20/2021,62,0,102,0
4/27/2021,214,0,33,0
4/27/2021,221,0,9,0
4/27/2021,222,0,5,0
4/27/2021,225,0,6,0
4/27/2021,238,0,8,0
5/3/2021,218,0,114,0
5/12/2021,120,0,25,0
5/12/2021,129,0,0,0
5/12/2021,138,0,83,0
5/12/2021,434,0,49,0
5/12/2021,619,0,0,0
5/12/2021,676,0,128,0
5/12/2021,73,0,0,0
5/12/2021,74,0,0,0
5/24/2021,244,0,412,0
5/24/2021,254,0,230,0
5/24/2021,287,0,3,0
5/24/2021,290,0,1,0
5/24/2021,306,0,67,0
5/24/2021,424,1,0,0
5/24/2021,436,0,1,0
5/25/2021,359,0,134,0
5/25/2021,367,0,1,0
5/25/2021,392,0,29,0
5/25/2021,468,0,27,0
5/25/2021,518,0,227,0
5/25/2021,667,0,0,0
5/26/2021,156,0,47,0
5/26/2021,165,0,7,0
5/26/2021,169,0,0,0
5/26/2021,169,0,0,0
5/26/2021,186,0,1,0
5/26/2021,189,0,0,0
5/26/2021,194,0,0,0
5/26/2021,742,0,0,0
6/1/2021,10,0,20,0
6/1/2021,12,0,0,0
6/1/2021,13,0,0,0
6/1/2021,140,0,2,0
6/1/2021,195,0,0,0
6/1/2021,196,0,62,0
6/1/2021,265,0,848,0
6/1/2021,400,0,15,0
6/1/2021,49,0,117,0
6/1/2021,502,0,5,0
6/1/2021,536,0,39,0
6/1/2021,6,0,0,0
6/1/2021,650,0,0,0
6/1/2021,669,0,10,0
6/1/2021,688,1,1,0
6/1/2021,710,0,0,0
6/1/2021,725,0,0,0
6/2/2021,118,0,35,0
6/2/2021,136,0,552,0
6/2/2021,155,0,62,0
6/2/2021,228,0,161,0
6/2/2021,249,0,0,0
6/2/2021,266,0,446,0
6/2/2021,303,0,0,0
6/2/2021,318,0,250,0
6/2/2021,350,0,15,0
6/2/2021,355,0,481,0
6/2/2021,400,0,36,0
6/2/2021,400,0,36,0
6/2/2021,42,0,5,0
6/2/2021,425,0,117,0
6/2/2021,446,0,0,0
6/2/2021,684,0,1,0
6/2/2021,686,0,9,0
6/2/2021,724,0,0,0
6/2/2021,78,0,0,0
6/2/2021,93,0,13,0
6/2/2021,96,0,122,0
6/7/2021,122,0,7,0
6/7/2021,2,0,36,0
6/7/2021,210,0,1,0
6/7/2021,237,0,6,0
6/7/2021,251,0,21,1
6/7/2021,264,0,26,0
6/7/2021,342,0,208,0
6/7/2021,344,0,0,0
6/7/2021,347,0,144,0
6/7/2021,369,0,0,0
6/7/2021,404,0,145,0
6/7/2021,435,0,192,0
6/7/2021,50,0,0,0
6/7/2021,501,0,578,0
6/7/2021,541,0,71,0
6/7/2021,581,0,170,0
6/7/2021,616,0,16,0
6/7/2021,616,0,16,0
6/7/2021,629,0,10,0
6/7/2021,64,0,1,0
6/7/2021,673,0,152,0
6/7/2021,690,0,0,0
6/7/2021,695,0,0,0
6/7/2021,698,0,11,0
6/7/2021,703,0,0,0
6/7/2021,723,0,0,0
6/7/2021,729,0,67,0
6/7/2021,8,0,57,0
6/9/2021,125,0,1,0
6/9/2021,176,0,0,0
6/9/2021,192,0,190,0
6/9/2021,220,0,0,0
6/9/2021,245,0,0,0
6/9/2021,259,0,369,0
6/9/2021,331,0,0,0
6/9/2021,361,0,502,0
6/9/2021,362,0,0,0
6/9/2021,451,0,8,0
6/9/2021,592,0,1177,0
7/6/2021,108,0,0,0
7/6/2021,113,0,191,0
7/6/2021,131,0,18,9
7/6/2021,145,0,7,0
7/6/2021,193,0,156,0
7/6/2021,200,0,0,0
7/6/2021,204,0,0,0
7/6/2021,217,0,0,0
7/6/2021,242,0,0,0
7/6/2021,270,0,0,0
7/6/2021,272,0,9,0
7/6/2021,285,0,0,2
7/6/2021,301,0,0,0
7/6/2021,341,1,0,1
7/6/2021,343,0,0,0
7/6/2021,348,0,0,4
7/6/2021,376,0,0,0
7/6/2021,390,0,1,1
7/6/2021,443,0,362,0
7/6/2021,555,0,599,0
7/6/2021,607,0,0,0
7/6/2021,607,0,0,0
7/6/2021,77,0,0,1
7/6/2021,80,0,19,0
7/13/2021,126,0,68,0
7/13/2021,134,0,0,4
7/13/2021,135,0,0,0
7/13/2021,14,0,0,0
7/13/2021,151,0,6,1
7/13/2021,152,0,0,2
7/13/2021,153,0,0,7
7/13/2021,159,0,168,0
7/13/2021,180,0,650,0
7/13/2021,193,0,0,25
7/13/2021,241,0,0,0
7/13/2021,256,0,2,0
7/13/2021,288,0,1,0
7/13/2021,291,0,0,0
7/13/2021,307,0,0,0
7/13/2021,308,0,2,0
7/13/2021,309,0,34,0
7/13/2021,310,0,0,4
7/13/2021,329,0,91,0
7/13/2021,330,0,0,0
7/13/2021,334,0,3,0
7/13/2021,346,0,0,7
7/13/2021,487,0,150,0
7/13/2021,488,0,28,0
7/13/2021,489,0,27,0
7/13/2021,533,0,1,0
7/13/2021,558,0,0,0
7/13/2021,559,0,2,0
7/13/2021,622,1,0,1
7/13/2021,652,2,0,0
7/13/2021,682,0,3,4
7/13/2021,687,0,0,0
7/13/2021,706,0,363,3
7/13/2021,727,0,42,0
7/14/2021,1,0,62,0
7/14/2021,121,0,0,1
7/14/2021,123,0,0,1
7/14/2021,124,1,381,0
7/14/2021,14,0,0,0
7/14/2021,146,0,0,2
7/14/2021,2,0,10,0
7/14/2021,280,0,1,0
7/14/2021,281,0,0,1
7/14/2021,300,0,0,0
7/14/2021,303,0,15,0
7/14/2021,304,0,1,2
7/14/2021,33,0,2,0
7/14/2021,399,0,0,3
7/14/2021,4,0,0,0
7/14/2021,409,0,22,0
7/14/2021,422,0,194,0
7/14/2021,423,0,92,0
7/14/2021,456,0,0,3
7/14/2021,467,0,25,0
7/14/2021,468,0,24,0
7/14/2021,47,0,0,3
7/14/2021,472,0,0,0
7/14/2021,48,0,88,0
7/14/2021,5,0,0,0
7/14/2021,511,0,1,0
7/14/2021,58,0,1,0
7/14/2021,60,0,1,0
7/14/2021,61,0,28,0
7/14/2021,62,0,0,0
7/14/2021,63,0,0,0
7/14/2021,630,0,14,0
7/14/2021,64,0,12,0
7/14/2021,65,0,0,0
7/14/2021,75,0,25,4
7/14/2021,76,0,189,0
7/14/2021,89,0,0,0
7/19/2021,10,0,0,0
7/19/2021,117,0,0,7
7/19/2021,118,0,0,26
7/19/2021,140,9,0,2
7/19/2021,155,0,0,0
7/19/2021,196,0,0,0
7/19/2021,228,2,0,6
7/19/2021,228,0,0,6
7/19/2021,265,0,0,0
7/19/2021,266,0,0,0
7/19/2021,318,1,0,26
7/19/2021,350,0,0,0
7/19/2021,355,0,0,0
7/19/2021,400,0,32,4
7/19/2021,509,0,0,2
7/19/2021,535,0,0,1
7/19/2021,536,0,353,0
7/19/2021,574,0,0,0
7/19/2021,585,0,0,0
7/19/2021,669,0,8,5
7/19/2021,673,3,9,0
7/19/2021,684,0,4,0
7/19/2021,78,0,0,0
7/19/2021,93,0,0,0
7/19/2021,96,0,0,0
7/20/2021,176,0,0,3
7/20/2021,204,1,0,2
7/20/2021,210,14,0,3
7/20/2021,220,0,0,0
7/20/2021,237,3,2,0
7/20/2021,244,0,0,0
7/20/2021,343,0,0,0
7/20/2021,344,0,0,0
7/20/2021,361,1,0,5
7/20/2021,369,0,0,5
7/20/2021,376,0,0,0
7/20/2021,698,0,28,0
7/20/2021,744,0,2,0
8/2/2021,13,0,0,0
8/2/2021,14,0,0,0
8/2/2021,151,0,0,4
8/2/2021,2,0,42,0
8/2/2021,2,0,42,0
8/2/2021,241,0,0,0
8/2/2021,281,0,0,8
8/2/2021,288,0,7,0
8/2/2021,291,0,0,0
8/2/2021,300,0,0,0
8/2/2021,303,0,7,0
8/2/2021,308,0,83,0
8/2/2021,309,0,57,0
8/2/2021,310,0,0,5
8/2/2021,329,0,48,3
8/2/2021,33,0,0,6
8/2/2021,330,0,0,0
8/2/2021,334,0,8,0
8/2/2021,399,0,1,23
8/2/2021,4,0,8,0
8/2/2021,467,0,30,0
8/2/2021,468,0,0,0
8/2/2021,47,1,0,8
8/2/2021,48,0,0,3
8/2/2021,5,0,5,0
8/2/2021,511,0,0,0
8/2/2021,533,0,1,0
8/2/2021,558,0,0,0
8/2/2021,559,0,0,0
8/2/2021,60,0,9,0
8/2/2021,61,0,17,0
8/2/2021,62,0,0,0
8/2/2021,622,2,0,4
8/2/2021,630,0,5,1
8/2/2021,64,0,37,0
8/2/2021,687,0,4,0
8/2/2021,706,0,2,2
8/2/2021,727,0,7,0
8/3/2021,121,0,0,0
8/3/2021,123,0,0,5
8/3/2021,124,0,4,3
8/3/2021,126,0,0,1
8/3/2021,134,0,0,1
8/3/2021,135,2,0,3
8/3/2021,146,0,0,0
8/3/2021,180,0,0,10
8/3/2021,193,0,1,8
8/3/2021,256,0,0,0
8/3/2021,304,0,0,2
8/3/2021,323,1,3,2
8/3/2021,472,0,1,5
8/3/2021,487,0,2,0
8/3/2021,488,0,83,0
8/3/2021,489,0,0,0
8/3/2021,58,0,0,0
8/3/2021,65,0,0,0
8/3/2021,652,0,0,0
8/3/2021,75,0,0,3
8/3/2021,76,0,5,0
8/3/2021,89,0,0,7
8/17/2021,122,0,0,0
8/17/2021,127,0,0,1
8/17/2021,136,0,51,0
8/17/2021,15,0,2,0
8/17/2021,154,0,0,7
8/17/2021,155,0,1,0
8/17/2021,176,0,0,0
8/17/2021,204,0,0,0
8/17/2021,252,0,0,0
8/17/2021,289,0,0,0
8/17/2021,314,0,0,3
8/17/2021,315,0,0,2
8/17/2021,335,0,0,0
8/17/2021,337,0,1,0
8/17/2021,380,1,0,7
8/17/2021,42,2,0,2
8/17/2021,425,0,3,0
8/17/2021,429,0,0,0
8/17/2021,432,0,0,2
8/17/2021,437,0,0,0
8/17/2021,475,0,0,0
8/17/2021,601,0,4,3
8/17/2021,627,0,0,0
8/17/2021,664,0,0,0
8/17/2021,670,0,420,3
8/17/2021,677,0,352,0
8/17/2021,681,0,1,5
8/17/2021,703,0,0,2
8/17/2021,729,0,0,3
8/17/2021,729,0,0,6
8/17/2021,97,0,0,0
9/13/2021,11,0,0,0
9/13/2021,247,3,0,2
9/13/2021,280,0,0,0
9/13/2021,327,0,1,6
9/13/2021,344,0,0,11
9/13/2021,409,0,27,3
9/13/2021,446,0,0,0
9/13/2021,528,0,1,9
9/13/2021,545,0,7,3
9/13/2021,623,0,0,2
9/13/2021,624,0,42,0
9/13/2021,688,0,38,0
9/13/2021,94,0,0,11
9/13/2021,344,0,0,9
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
