Pool_ID,DistRC_m,Depth_cm,Pct_Shaded,MaxRTemp_Z,Depth_Z,Pct_Shaded_Z,SurfArea_Z,MaxTemp_Predicted_C,MaxTemp_SE,MaxTemp_Z
1,100.986416,12.08333333,0.71,0,-0.570205036,1.980183874,-0.574197251,30.83333948,1.311714715,-0.368425532
2,99.57518957,6.9,0.58,0,-0.761114988,1.518833578,-0.247049524,31.01677048,2.696248143,-0.295612501
3,99.19268909,23.6875,0.42,0,-0.142806147,0.951017828,-0.378739545,30.59770502,2.67996602,-0.46196075
4,98.2257691,16.41666667,0.43,0,-0.41060186,0.986506313,-0.563424787,26.75767359,1.349921511,-1.986263198
5,97.57185322,17.09375,0.58,0,-0.385663864,1.518833578,-0.474032289,30.28434648,2.694044941,-0.586348585
6,85.93776715,9.125,0.06,0,-0.679164896,-0.326567607,-0.558664338,33.35480944,1.303130511,0.632473265
8,82.13582796,8.25,0.27,0,-0.71139246,0.418690564,-0.565302147,32.44482041,2.676537322,0.271252652
10,45.64570306,15.0625,0,0,-0.460477853,-0.539498513,-0.483150919,35.04314694,1.317208682,1.302659702
11,45.53671558,26,0,0,-0.057633299,-0.539498513,-0.484910934,31.2353492,1.312712178,-0.208847568
12,74.56374131,7.8125,0.03,0,-0.727506242,-0.43303306,-0.572945682,33.65693711,2.679159189,0.752402999
13,101.232877,22.75,0.23,0,-0.17733568,0.276736626,-0.432898009,27.5058843,1.346273928,-1.689260575
14,99.22618612,17.9,0.91,0,-0.355968465,2.68995356,-0.361541584,28.18386611,1.305844178,-1.420135346
15,72.2525817,11.625,0,0,-0.587086141,-0.539498513,-0.393121468,37.27081715,0.994023183,2.186934534
16,76.8139801,21.1996348,0,0,-0.23443796,-0.539498513,-0.540553926,31.90124519,0.991117363,0.055480187
18,67.44520974,21,0,0,-0.241790809,-0.539498513,-0.567112456,32.6720962,1.303018311,0.361469892
22,43.22774168,14.25,0,0,-0.490403448,-0.539498513,-0.57576172,35.99287169,0.82495966,1.679653429
23,21.59512379,14.75,0,0,-0.471987697,-0.539498513,-0.539689599,38.04799774,1.012036289,2.495436768
24,17.05037605,9.75,0,0,-0.656145207,-0.539498513,-0.579773797,39.49654091,1.375793835,3.070436722
25,18.17108161,15.75,0,0,-0.435156195,-0.539498513,-0.45869495,33.23421063,2.676618757,0.584601503
26,17.97164681,17.875,0.59,0,-0.356889253,1.554322062,0.074340985,30.17901834,2.6950771,-0.628158643
28,14.67008979,39.04166602,1,0,0.42271085,3.009349919,-0.418127509,26.64118827,2.770077996,-2.032502105
30,27.10394331,15.75,0.01,0,-0.435156195,-0.504010029,-0.515418045,33.18501553,2.676174172,0.565073486
31,27.01934332,5.625,0.2,0,-0.808075153,0.170271173,-0.412029159,32.97779309,2.677074738,0.482816431
32,11.42343927,32.70833333,0,0,0.189444694,-0.539498513,-0.223913283,30.01952461,0.984741435,-0.69146976
33,9.055432204,14.875,0.92,0,-0.467383759,2.725442044,-0.321915894,28.77113122,2.744706475,-1.187020157
40,0.757384865,9,0,0,-0.683768834,-0.539498513,-0.530705093,33.71920016,2.67982569,0.777118346
41,0.92567306,10.65,0,0,-0.622996855,-0.539498513,-0.539233667,33.60064716,2.67892316,0.730058673
42,3.670865039,51.325,0.18,0,0.875124491,0.099294205,0.492549613,28.70168452,0.98582546,-1.214587061
43,2.813587906,13.50625,0,0,-0.517796878,-0.539498513,0.285644388,33.39542474,2.677542174,0.648595527
45,10.75597683,95,0,0,2.483740343,-0.539498513,-0.499058177,31.99072112,1.350515002,0.090997706
46,13.13035751,21.83333333,0,0,-0.211097891,-0.539498513,-0.050413976,30.51849672,1.322618501,-0.493402527
47,11.45191077,29.4703125,0,0,0.070183523,-0.539498513,-0.398774502,35.03115351,1.325383191,1.297898901
48,10.70869624,31.41057692,0,0,0.141646376,-0.539498513,-0.44226806,32.10899347,2.674138953,0.137945973
49,4.404492574,76.3911091,0,0,1.79834694,-0.539498513,-0.172256694,28.8771287,2.705462303,-1.144944403
50,8.492870864,36.8125,0,0,0.340607317,-0.539498513,-0.261181108,29.70426772,0.72051936,-0.816611147
51,6.933817909,23.875,0.03,0,-0.135900241,-0.43303306,-0.558514948,29.30950685,0.998311698,-0.973311678
52,26.54857949,5.75,0.57,0,-0.803471215,1.483345093,-0.500533215,31.14859342,2.6956817,-0.243285318
54,30.59352242,8.125,0.48,0,-0.715996398,1.163948734,-0.4160521,29.72273106,1.317679241,-0.809282114
55,28.18224454,22.25,0.01,0,-0.195751432,-0.504010029,-0.483905238,32.71798858,2.674331989,0.379686897
57,23.12692384,20.27940949,0.18,0,-0.26833124,0.099294205,-0.422157914,32.02325955,2.671575417,0.10391385
58,34.23627495,19.57291667,0.86,0,-0.294352432,2.512511139,0.386949307,28.72875505,2.733991949,-1.203841402
60,40.26699702,27.26640625,0.98,0,-0.010989654,2.93837295,-0.435123199,27.58563441,2.759267952,-1.657603726
61,64.1455964,44.8921875,1,0,0.638194344,3.009349919,-0.144287534,26.22082655,2.774737523,-2.199364909
62,65.04583773,37.35789463,0.9,0,0.360695021,2.654465076,-0.512639222,27.0795079,1.305587415,-1.858510904
63,63.05989341,35.24107143,0.5,0,0.282729243,1.234925703,-0.147788425,30.36892329,0.825444247,-0.552775775
64,68.24370504,49.96875,0.98,0,0.825171766,2.93837295,0.252757261,25.95446419,2.775098153,-2.305097584
65,64.54886922,19.875,0.89,0,-0.283226249,2.618976591,3.557781408,28.559465,2.73948291,-1.271041175
67,66.04968947,19.375,1,0,-0.301642,3.009349919,-0.504958481,28.05424414,2.761249128,-1.471588853
68,66.33426918,25.06899991,0.55,0,-0.091923431,1.412368125,-0.466381356,30.45136938,0.989801433,-0.520048759
69,64.28671901,14.75,0.84,0,-0.471987697,2.44153417,-0.045541746,29.17367324,2.730251299,-1.027230896
70,53.42981389,24.8125,0.34,0,-0.101370707,0.667109954,-0.31594857,30.91043417,2.675375672,-0.337822756
71,58.12886109,28.8125,0.95,0,0.045955301,2.831907497,1.235219649,27.62213238,2.753678743,-1.643115836
72,19.23635501,31.875,0,0,0.158751776,-0.539498513,-0.545925114,32.07562453,2.674171445,0.124700156
73,2.686676847,24.52142857,0.06,0,-0.112091305,-0.326567607,0.013307688,33.50648794,0.984007635,0.692682122
74,13.2072971,49.9333787,0.18,0,0.823868988,0.099294205,-0.244960874,29.89261294,2.679029125,-0.741847413
75,16.23945478,47.94955849,0.27,0,0.75080191,0.418690564,-0.323082491,32.67989488,0.830323135,0.364565582
76,16.95518167,17.828125,0.38,0,-0.35861573,0.809063891,-0.537795475,31.21548324,2.677816445,-0.216733368
77,14.99585193,32.53571429,0,0,0.183086876,-0.539498513,-0.201681086,32.02815201,2.674228197,0.105855915
78,12.09471574,33.75892857,0,0,0.228139695,-0.539498513,-0.232396508,31.03996367,0.98169939,-0.286405954
79,15.76381825,64.19999848,0,0,1.349330024,-0.539498513,-0.414187903,29.75306367,2.691389197,-0.79724157
80,23.75970224,14,0.06,0,-0.499611323,-0.326567607,0.54837398,31.47911905,1.31061605,-0.112083
81,19.06744586,29.11363636,0,0,0.057046605,-0.539498513,-0.124756586,32.27402934,2.674068087,0.203457047
82,17.02729244,32.73859315,0.12,0,0.190559209,-0.113636701,-0.354827686,31.423234,2.671585927,-0.134266598
83,16.50031082,53.05995263,0,0,0.939025402,-0.539498513,-0.436815833,30.55347931,2.682137465,-0.479516169
84,14.49290291,36.23125,0,0,0.319199007,-0.539498513,-0.211830013,29.86381527,1.310631247,-0.753278666
85,7.442961182,20.125,0.01,0,-0.274018373,-0.504010029,-0.203642264,32.87067047,2.674802742,0.440294051
86,6.601179442,43.41203592,0,0,0.583678138,-0.539498513,-0.370898377,31.24668503,2.676938193,-0.204347804
87,8.68554756,38.23875,0,0,0.393138247,-0.539498513,-0.234987466,31.61838718,2.675231874,-0.056800445
88,11.33334707,55,0,0,1.010480261,-0.539498513,0.226787043,30.41408632,2.683499056,-0.534848287
89,11.7711339,44.98214286,0,0,0.641507535,-0.539498513,1.227212048,31.13387237,2.677605619,-0.249128845
91,7.417821624,47.30807332,0,0,0.727175047,-0.539498513,-0.433860264,29.59758217,1.316114703,-0.858960028
92,5.791507693,17.54166667,0,0,-0.36916642,-0.539498513,-0.248922369,34.24804308,0.984152024,0.987042814
93,4.173316195,8.104166667,0,0,-0.716763721,-0.539498513,-0.458538506,33.78356605,2.6803478,0.80266842
94,3.345614771,12,0.19,0,-0.573274328,0.134782689,-0.107628739,32.56894252,2.673953445,0.320522985
95,4.707635527,42.52142857,0,0,0.550875732,-0.539498513,0.223667657,31.31067543,2.676590548,-0.178946779
96,19.9116809,30.5625,0,0,0.110410429,-0.539498513,-0.169045198,30.04526221,1.314435522,-0.68125321
97,23.14036301,22.78125,0,0,-0.176184696,-0.539498513,-0.428389006,32.7290132,2.674646612,0.384063125
98,24.86035742,20.75,0,0,-0.250998685,-0.539498513,-0.407603997,32.87495912,2.675072701,0.441996434
101,34.78966705,90.8133305,0.05,0,2.329539017,-0.362056091,-0.201683588,27.5949123,2.727133416,-1.653920862
103,25.53272946,19.53125,0,0,-0.295887078,-0.539498513,-0.479211807,32.96252668,2.675384396,0.47675642
104,26.63709838,10.90171252,0.07,0,-0.613725905,-0.291079123,-0.549114802,33.2381959,2.676075367,0.586183459
105,26.39216927,33.33790708,0,0,0.212632841,-0.539498513,-0.319247478,31.97051421,2.67431372,0.082976563
107,31.5755281,5.625,0,0,-0.808075153,-0.539498513,-0.389903104,33.96169492,2.681910344,0.873376767
108,33.3837537,30.25,0,0,0.098900585,-0.539498513,1.523751773,30.42934453,1.311702199,-0.528791533
109,27.46944252,19,0,0,-0.315453813,-0.539498513,-0.551221918,32.98569579,1.30596487,0.485953412
110,31.95030118,25.375,0,0,-0.080652988,-0.539498513,0.46737963,34.84470902,1.313312667,1.223889668
111,33.08797058,21.375,0,0,-0.227978996,-0.539498513,-0.242798633,37.11173592,1.34570721,2.123787158
113,35.66282662,22.66666667,0,0,-0.180404972,-0.539498513,-0.354166267,32.90613184,1.311105729,0.45437046
114,6.027977387,13.825,0.32,0,-0.506056836,0.596132985,-0.498454741,31.79827953,2.675911575,0.014607916
116,6.905482088,12.88324034,0.26,0,-0.540743259,0.383202079,-0.575857009,32.16111579,2.674451099,0.158635957
117,11.12407228,26.25,0,0,-0.048425423,-0.539498513,0.611400106,29.57428791,1.320355115,-0.868206698
118,11.29380924,8.666666667,0,0,-0.696046001,-0.539498513,-0.538885005,33.74315026,2.680017326,0.78662535
119,11.82895498,38.4375,0,0,0.400458508,-0.539498513,0.013306731,31.60410693,2.675283451,-0.062468996
120,13.81929035,10.25,0,0,-0.637729456,-0.539498513,-0.562888393,35.03160114,1.314918447,1.298076591
121,20.22528836,39.88636364,0,0,0.453822332,-0.539498513,-0.171556483,31.50000564,2.675693205,-0.103792056
122,19.76045273,45.09375,0,0,0.645618194,-0.539498513,-0.233696778,28.80633389,1.316488155,-1.173046441
123,22.85667808,32.35357143,0,0,0.17637828,-0.539498513,-0.23282275,32.04123903,2.674211318,0.111050814
124,24.12616252,30.44886364,0,0,0.106225032,-0.539498513,-0.503148139,32.17809285,2.674091095,0.165375011
125,21.02577829,89.60676891,0,0,2.285099541,-0.539498513,-0.284539179,27.92757957,2.725306163,-1.521868418
126,22.5093481,41.51726191,0,0,0.513890765,-0.539498513,-0.304516801,31.38282511,2.676225448,-0.150306928
127,17.31177963,62.375,0,0,1.282112588,-0.539498513,0.002498511,29.88419036,2.689636351,-0.745190763
128,17.48827949,197.6166609,0,0,6.2632661,-0.539498513,-0.328988993,20.16703636,3.04957145,-4.602420032
129,16.10861635,32.75,0,0,0.19097934,-0.539498513,-0.293017978,32.01275551,2.674249259,0.099744269
130,13.62598491,48.74675811,0,0,0.780163969,-0.539498513,-0.42261228,32.24727941,1.314861283,0.192838649
131,15.33762417,10.625,0,0,-0.623917643,-0.539498513,-0.580186926,33.60244342,2.678936262,0.730771698
133,17.38176664,28.02083334,0,0,0.016797029,-0.539498513,-0.248363629,32.35254756,2.674086837,0.234624896
134,23.01929657,20.67142857,0,0,-0.253892588,-0.539498513,0.086986897,32.72186212,1.302999165,0.3812245
135,21.71239805,28.01166667,0,0,0.016459406,-0.539498513,-0.24347134,32.35320619,2.674087138,0.234886339
136,14.9650843,19.16666667,0,0,-0.309315229,-0.539498513,-0.606000615,32.9887221,2.675485802,0.487154706
137,15.95679312,51.75972154,0,0,0.891135938,-0.539498513,-0.534909314,28.32737163,1.323857835,-1.363170755
138,18.37694514,44.79166667,0,0,0.634492011,-0.539498513,-0.337001828,31.14755814,2.677520942,-0.243696271
139,25.11379597,28.79166667,0,0,0.045187978,-0.539498513,-0.155255541,30.81200225,0.98937634,-0.376895357
140,21.14928464,31.0625,0,0,0.12882618,-0.539498513,2.152108374,30.44722004,1.315079437,-0.52169584
141,22.36184041,56.8125,0,0,1.077237358,-0.539498513,-0.018957024,29.5962344,1.304959267,-0.859495026
142,15.81607683,64.51157264,0,0,1.360805768,-0.539498513,-0.41037373,29.73067697,2.691697705,-0.806127981
143,39.49535411,31.51336781,0.03,0,0.145432319,-0.43303306,-0.491965145,31.95402264,2.67310845,0.076430222
144,28.88756808,73.625,0,0,1.696466987,-0.539498513,-0.310366793,28.58088302,0.836698148,-1.262539281
145,30.61087619,31.4375,0,0,0.142637994,-0.539498513,-0.118892895,29.69436563,1.316993024,-0.820541785
146,36.7717891,23.04166667,0.97,0,-0.166593159,2.902884466,0.152374325,27.19113229,1.306435265,-1.814201546
151,87.67418026,21.38984375,0.08,0,-0.227432278,-0.255590638,-0.506747809,29.59368001,1.328587608,-0.860508996
152,86.18896407,35.65263158,0,0,0.297887621,-0.539498513,-0.142040174,29.774737,0.986064054,-0.788638331
153,86.61835999,24.09264706,0.13,0,-0.127883973,-0.078148217,-0.42303696,31.99525274,2.671199318,0.092796533
154,81.25767294,18.875,0,0,-0.320057751,-0.539498513,0.235525633,33.00967844,2.675569634,0.495473335
155,84.33239098,28.65,0.22,0,0.039970182,0.241248142,0.090325394,31.22504974,2.671665768,-0.212935944
156,85.91220164,11.04166667,0.43,0,-0.608571184,0.986506313,6.205707254,31.45711686,2.682365712,-0.120816781
157,85.19033686,19.63333333,0.67,0,-0.292127195,1.838229936,2.337162607,29.65912083,2.704667799,-0.834532227
158,85.06684939,4.5,0.56,0,-0.849510593,1.447856609,0.085068795,31.28760139,2.695232411,-0.188106034
159,89.36877672,12.625,1,0,-0.550254639,3.009349919,-0.445039383,28.53923367,2.760659784,-1.27907201
160,83.15948402,7.625,0.16,0,-0.734412149,0.028317236,-0.303276413,33.03087286,2.676074779,0.50388647
161,83.69511126,17.73099276,0.74,0,-0.362193256,2.086649327,-0.458740439,29.45143893,2.714338564,-0.916971663
162,84.11964853,17.58333333,0.47,0,-0.367631775,1.12846025,-0.277708552,30.79031578,2.683841205,-0.385503812
163,80.55185556,15.29166667,0.17,0,-0.4520373,0.063805721,-0.500935538,32.43377605,1.305945262,0.266868586
164,78.74145882,34.83333333,0,0,0.267711636,-0.539498513,-0.547366666,34.57582309,1.321566074,1.11715526
165,78.32169174,40.70625,0,0,0.484019978,-0.539498513,-0.116960779,31.66328355,1.303203608,-0.038978805
166,77.37574416,16.125,0.02,0,-0.421344382,-0.468521544,0.962264946,33.10887658,2.675618733,0.534850089
167,77.11086356,38.08333333,0,0,0.387414018,-0.539498513,1.278823634,31.62955391,2.675192321,-0.052367804
168,75.04323369,35.6875,0,0,0.299171877,-0.539498513,2.035589415,31.80169526,2.674669065,0.015963791
169,71.60060593,24.14583333,0,0,-0.125925042,-0.539498513,0.877068631,31.22600839,1.30949279,-0.212555406
170,81.09123995,27.42045455,0,0,-0.005315824,-0.539498513,0.057719052,32.39568496,2.674111536,0.251748308
171,84.54670575,16.75,0.17,0,-0.398324693,0.063805721,-0.563827075,32.32604377,2.672340951,0.224104203
173,77.17117072,18.5,0.03,0,-0.333869564,-0.43303306,-0.367911213,31.67907233,1.306056776,-0.032711441
175,67.90706648,55.59999827,0.06,0,1.032579098,-0.326567607,-0.450844155,30.27914419,1.306798066,-0.588413638
176,62.21783303,41.475,0,0,0.512334196,-0.539498513,0.424254025,31.38586164,2.676210707,-0.149101576
177,60.62487068,65.4375,0,0,1.394909064,-0.539498513,0.334489403,29.66414881,2.692630432,-0.832536367
178,58.51320008,34.5625,0,0,0.257736438,-0.539498513,-0.32124542,31.88252684,2.67447942,0.048049932
179,53.28506639,6,0,0,-0.79426334,-0.539498513,0.663295495,33.93475106,2.681662907,0.862681387
180,67.29508421,25.85971743,0,0,-0.062800117,-0.539498513,-0.477374152,32.50782439,2.674223514,0.296262113
181,67.46464893,17.375,0,0,-0.375305004,-0.539498513,-0.558098108,31.91571825,1.314624481,0.061225278
182,50.62073737,26.09611077,0.08,0,-0.054093395,-0.255590638,-0.539014876,32.09727872,2.671760512,0.133295801
183,48.47207424,9.875,0,0,-0.651541269,-0.539498513,-0.563290686,33.65633114,2.679337528,0.752162459
184,41.70817794,30.375,0,0,0.103504523,-0.539498513,-0.388293972,32.18339998,2.674088502,0.167481677
185,40.21912133,15.625,0.06,0,-0.439760133,-0.326567607,-0.468215844,32.94802137,2.674388519,0.470998529
186,73.36286019,32,0,0,0.163355714,-0.539498513,0.075681959,32.06664324,2.674181234,0.121135029
187,70.4219109,25.5,0,0,-0.07604905,-0.539498513,1.462246024,32.53367019,2.674259105,0.306521619
188,70.65619739,6.75,0,0,-0.766639713,-0.539498513,-0.453062872,33.88086333,2.681179883,0.841290626
189,72.19086754,16.25,0.04,0,-0.416740444,-0.397544576,0.027641699,28.47323055,0.999628548,-1.305271984
190,65.79475872,21,0.01,0,-0.241790809,-0.504010029,-0.392450982,32.80780146,2.674593424,0.415338164
191,65.8484614,335.3481615,0,0,11.33612415,-0.539498513,-0.22315191,10.27098663,3.775128121,-8.530662053
192,66.10132137,46.125,0.02,0,0.68360068,-0.468521544,-0.511261008,32.11621219,1.30585218,0.14081145
193,63.27981338,144.1863052,0,0,4.295345844,-0.539498513,-0.205350076,24.00602348,2.855284978,-3.078532123
194,60.70656343,25.25,0,0,-0.085256925,-0.539498513,0.246052281,32.55163277,2.674285999,0.313651872
195,61.92526451,63.5,0,0,1.323548028,-0.539498513,0.512302219,29.80335877,2.690705923,-0.777276903
196,58.14084192,27.71875,0,0,0.005670845,-0.539498513,-0.126888437,32.37425234,2.674097989,0.24324062
197,60.2260604,83.25,0,0,2.050970194,-0.539498513,1.689138319,32.38266222,1.346147275,0.246578924
198,63.67390591,74.0625,0,0,1.712580769,-0.539498513,-0.010944729,29.04443997,2.702458034,-1.078530111
199,58.66732103,12.75,0,0,-0.545650701,-0.539498513,-0.50864616,31.47063213,1.313378875,-0.115451885
200,52.71501305,4.75,0.13,0,-0.840302717,-0.078148217,-0.515418045,33.38502774,2.678115568,0.644468435
201,49.18915512,83,0,0,2.041762318,-0.539498513,1.393454211,28.40227791,2.714794868,-1.333436671
202,53.32153718,36.125,0.02,0,0.31528566,-0.468521544,0.771109564,31.67187057,2.674077704,-0.035570186
203,50.49590806,64.25,0,0,1.351171655,-0.539498513,1.708448085,29.74947104,2.691438525,-0.798667664
204,45.19172605,21.625,0,0,-0.21877112,-0.539498513,0.142909318,32.81209011,2.674874838,0.417040547
205,38.63229794,10.5,0,0,-0.628521581,-0.539498513,-0.599496906,33.6114247,2.679002039,0.734336825
206,36.85128509,183.1324943,0.06,0,5.729792488,-0.326567607,-0.275653131,20.91255753,2.993137406,-4.306485018
207,34.22947621,78.24536863,0,0,1.866642103,-0.539498513,-0.350185252,28.7438996,2.707960686,-1.197829765
208,34.88089274,21.375,0.01,0,-0.227978996,-0.504010029,-0.0567836,33.12242166,1.303106978,0.540226817
209,33.35577684,21.875,0.05,0,-0.209563245,-0.362056091,-0.205251429,29.40903008,1.332280143,-0.933805879
210,30.2136537,81.10416667,0,0,1.971935929,-0.539498513,1.148224084,28.5384941,2.711996222,-1.279365583
211,29.48192071,63.625,0,0,1.328151966,-0.539498513,0.635705092,29.79437748,2.690826938,-0.78084203
212,27.39588351,21.375,0,0,-0.227978996,-0.539498513,-0.480116962,32.83005268,2.674929159,0.4241708
213,28.21929358,86.4375,0,0,2.168370607,-0.539498513,0.436017715,28.1552925,2.720117273,-1.431477656
